monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
NA,NA,0,11,0,2,1053.95,64,0,0,0,0,FALSE,1,0,1
2000,1600,1,10.5,0,2,929.60999,63,1,0,2000,1600,TRUE,1,0,1
4600,3300,0,11.5,1,2,175.82001,50,1,0,4600,3300,TRUE,1,0,1
3000,1900,1,11.5,1,1,6372.4902,56,1,0,3000,1900,TRUE,1,0,1
4250,2780,1,15,0,3,5009.6201,38,1,0,4250,2780,TRUE,1,0,1
3500,2200,0,15,0,4,4291.7202,47,1,0,3500,2200,TRUE,1,0,1
4388,3050,1,18,1,1,4498.75,56,1,0,4388,3050,TRUE,1,0,1
NA,NA,1,13,0,2,990.97998,59,0,0,0,0,FALSE,1,0,1
451,261,1,13,1,2,655.39001,27,1,0,451,261,TRUE,1,0,1
NA,NA,0,10,1,2,2526.05,57,0,1,0,0,FALSE,1,0,1
1800,1300,0,9,1,2,3545.0901,28,1,0,1800,1300,TRUE,1,0,1
137,137,1,9,1,2,5504.3301,60,1,0,137,137,TRUE,1,0,1
NA,NA,0,15,1,1,3352.1599,65,0,0,0,0,FALSE,1,0,1
2016,1396,0,11.5,0,2,3765.29,50,1,0,2016,1396,TRUE,1,0,1
2700,1800,1,11.5,0,4,1127.2,49,1,0,2700,1800,TRUE,1,0,1
2154,1430,0,11.5,1,1,3576.8301,59,1,0,2154,1430,TRUE,1,0,1
3500,1800,1,14.5,1,4,304.53,47,1,0,3500,1800,TRUE,1,0,1
2300,1700,1,14.5,1,1,2675.1899,55,1,0,2300,1700,TRUE,1,0,1
4500,2700,1,13,1,2,1351.6899,31,1,0,4500,2700,TRUE,1,0,1
1750,1250,0,13,1,1,4766.2598,29,1,0,1750,1250,TRUE,1,0,1
2500,1700,1,14.5,1,2,3340.03,24,1,0,2500,1700,TRUE,1,0,1
1400,1013,1,10.5,0,4,2116.27,42,1,0,1400,1013,TRUE,1,0,1
3000,2000,0,18,0,3,1890.54,60,1,0,3000,2000,TRUE,1,0,1
2100,1500,1,14,0,3,772.84003,58,1,0,2100,1500,TRUE,1,0,1
NA,NA,0,13,1,3,2418.4399,21,0,0,0,0,FALSE,1,0,1
3500,2800,0,12,0,2,8439.96,62,1,0,3500,2800,TRUE,1,0,1
2800,1500,1,10,0,2,1819.84,64,1,0,2800,1500,TRUE,1,0,1
2500,1700,0,10.5,1,1,5792.4502,61,1,0,2500,1700,TRUE,1,0,1
450,432,1,11,0,2,7912.9199,56,1,0,450,432,TRUE,1,0,1
3900,2100,0,11,0,4,1561.27,50,1,0,3900,2100,TRUE,1,0,1
840,574,1,10.5,0,4,2565.48,47,1,0,840,574,TRUE,1,0,1
600,480,0,10,1,4,3406.6899,21,1,0,600,480,TRUE,1,0,1
750,450,1,10.5,0,4,649.02002,49,1,0,750,450,TRUE,1,0,1
2970,1870,1,11.5,1,2,12432.28,30,1,0,2970,1870,TRUE,1,0,1
4190,2450,1,14.5,1,1,3124.47,42,1,0,4190,2450,TRUE,1,0,1
3190,1900,1,11.5,0,2,3806.22,36,1,0,3190,1900,TRUE,1,0,1
4824,3994,0,11.5,0,2,2929.3,62,1,0,4824,3994,TRUE,1,0,1
3200,1534,1,12,0,2,2667.8601,56,1,0,3200,1534,TRUE,1,0,1
515,405,1,15,1,1,10140.66,29,1,0,515,405,TRUE,1,0,1
2300,1500,0,10.5,1,1,7358.4302,64,1,0,2300,1500,TRUE,1,0,1
2380,1695,0,10.5,0,4,185.24001,50,1,0,2380,1695,TRUE,1,0,1
1791,1289,1,11.5,1,2,185.92999,63,1,0,1791,1289,TRUE,1,0,1
4790,2860,0,13,1,1,5000.1001,39,1,0,4790,2860,TRUE,1,0,1
3570,2464,1,9,1,1,4101.5298,63,1,0,3570,2464,TRUE,1,0,1
2100,1212,1,14.5,0,3,4687.3501,50,1,0,2100,1212,TRUE,1,0,1
4170,3565,1,15,0,2,6905.3799,57,1,0,4170,3565,TRUE,1,0,1
1800,1300,1,11.5,0,3,5724.1299,34,1,0,1800,1300,TRUE,1,0,1
2346,1644,1,12,1,2,1145.6,52,1,0,2346,1644,TRUE,1,0,1
3000,1900,1,18,0,2,3648.1101,60,1,0,3000,1900,TRUE,1,0,1
1000,700,0,16,0,3,3024.3401,60,1,0,1000,700,TRUE,1,0,1
NA,NA,0,12,1,1,3392.3401,64,0,0,0,0,FALSE,1,0,1
NA,NA,1,13.5,1,1,6309.23,56,0,0,0,0,FALSE,1,0,1
1000,600,0,10.5,1,1,3248.1001,62,1,0,1000,600,TRUE,1,0,1
2890,2206,1,9,1,2,3638.5801,57,1,0,2890,2206,TRUE,1,0,1
2541,1637,0,15,1,2,7737.6099,31,1,0,2541,1637,TRUE,1,0,1
3099,2800,0,18,0,3,530,60,1,0,3099,2800,TRUE,1,0,1
4192,2938,1,11.5,0,3,1137.52,49,1,0,4192,2938,TRUE,1,0,1
2895,1971,1,10,1,2,9990.1104,43,1,0,2895,1971,TRUE,1,0,1
1700,950,1,11.5,0,3,904.78998,52,1,0,1700,950,TRUE,1,0,1
4240,2537,1,18,0,2,6153.9702,53,1,0,4240,2537,TRUE,1,0,1
NA,NA,0,10.5,1,3,797.10999,56,0,1,0,0,FALSE,1,0,1
1650,940,1,12,0,4,668.21997,52,1,0,1650,940,TRUE,1,0,1
3000,3000,0,10.5,0,4,149.10001,47,1,0,3000,3000,TRUE,1,0,1
1900,1380,1,10.5,1,2,3449.6201,56,1,0,1900,1380,TRUE,1,0,1
450,450,1,11.5,0,3,514.14001,43,1,0,450,450,TRUE,1,0,1
NA,NA,0,13.5,0,2,503.23001,64,0,0,0,0,FALSE,1,0,1
NA,NA,1,11.5,0,2,443.85999,62,0,0,0,0,FALSE,1,0,1
1300,480,0,18,1,1,3695.54,64,1,0,1300,480,TRUE,1,0,1
3050,2000,1,12,0,2,159.05,62,1,0,3050,2000,TRUE,1,0,1
2448,1646,1,13,1,2,470.23999,57,1,0,2448,1646,TRUE,1,0,1
NA,NA,1,14.5,0,2,1212.46,61,0,0,0,0,FALSE,1,0,1
NA,NA,1,18,0,5,10040.21,35,0,0,0,0,FALSE,1,0,1
NA,NA,0,18,1,1,9771.25,31,0,0,0,0,FALSE,1,0,1
4000,2400,0,10.5,1,1,1256.09,54,1,0,4000,2400,TRUE,1,0,1
1350,902,1,11.5,0,4,3862.8501,50,1,0,1350,902,TRUE,1,0,1
NA,NA,1,15,0,2,310.22,62,0,0,0,0,FALSE,1,0,1
3518,2450,1,12,0,2,476.73001,62,1,0,3518,2450,TRUE,1,0,1
2750,2600,0,11.5,0,2,2948.3101,39,1,0,2750,2600,TRUE,1,0,1
4095,2455,1,11,1,2,796.90997,36,1,0,4095,2455,TRUE,1,0,1
2554,1379,1,16,0,4,1110.23,56,1,0,2554,1379,TRUE,1,0,1
4300,3800,0,12,0,3,3188.3,56,1,0,4300,3800,TRUE,1,0,1
NA,NA,0,10.5,0,4,1547.08,54,0,0,0,0,FALSE,1,0,1
3250,2200,0,11.5,0,3,10329.9,55,1,0,3250,2200,TRUE,1,0,1
1000,850,0,13.5,1,3,5791.9502,52,1,0,1000,850,TRUE,1,0,1
4100,2450,0,11.5,1,1,9407.29,48,1,0,4100,2450,TRUE,1,0,1
NA,NA,0,9,1,4,43.93,59,0,0,0,0,FALSE,1,0,1
1700,1250,1,10.5,1,3,118.1,56,1,0,1700,1250,TRUE,1,0,1
1605,968,1,18,0,2,477.26999,62,1,0,1605,968,TRUE,1,0,1
NA,NA,0,10.5,1,1,723.15997,65,0,0,0,0,FALSE,1,0,1
